Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS
1,Villanova,10,1,.900,21,2,.913,80.4,66.9,20.6,7.0
2,Creighton,9,2,.818,19,4,.826,80.5,65.8,20.7,6.0
3,Xavier,7,4,.636,17,7,.708,73.3,66.8,13.7,7.2
4,Marquette,6,5,.545,14,10,.583,70.7,65.1,11.1,5.4
5,Providence,6,6,.500,16,9,.640,71.5,67.9,10.5,6.9
5,Georgetown,6,6,.500,15,9,.625,71.4,66.6,12.2,7.4
7,St. John's,5,6,.455,15,9,.625,73.1,67.1,12.3,6.3
8,Seton Hall,4,7,.364,13,11,.542,74.1,71.0,7.0,3.8
9,DePaul,2,10,.182,10,14,.417,71.3,74.4,3.5,6.6
10,Butler,2,10,.167,12,12,.500,68.7,68.4,6.9,6.5
