Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS
1,Iona,16,2,.857,15,8,.652,84.5,79.3,5.2,-0.1
2,Quinnipiac,14,4,.714,15,8,.652,79.2,75.3,1.5,-2.4
2,Canisius,13,5,.714,16,9,.640,78.0,74.3,1.6,-2.2
4,Manhattan,13,5,.692,16,6,.727,78.2,72.2,4.3,-1.7
6,Siena,9,9,.500,11,14,.440,69.7,72.7,-3.9,-0.9
5,Rider,9,9,.571,12,11,.522,75.0,76.0,-3.8,-2.9
7,Marist,8,10,.429,9,15,.375,65.9,71.0,-6.1,-1.0
8,Saint Peter's,7,11,.385,9,13,.409,64.2,66.9,-6.7,-4.1
9,Monmouth,4,14,.286,10,15,.400,69.8,73.0,-6.6,-3.3
10,Niagara,3,15,.214,6,19,.240,76.7,83.0,-7.6,-1.3
11,Fairfield,3,15,.143,5,20,.200,61.8,69.2,-7.8,-0.3
